"neighbourhood","avg_price","avg_avail_365","avg_min_nights"
"Kew Gardens Hills",112.307692307692,124.615384615385,3.42307692307692
"Bay Terrace",142,222.5,2.5
"Norwood",75.5483870967742,154.290322580645,3.70967741935484
"Claremont Village",87.4642857142857,179.678571428571,15.2142857142857
"Whitestone",107.545454545455,177.272727272727,1.90909090909091
"Fordham",69.4444444444444,143.555555555556,4.23809523809524
"Bayswater",87.4705882352941,207.352941176471,5.17647058823529
"Navy Yard",151.642857142857,48.9285714285714,4.57142857142857
"Brownsville",76.4590163934426,121.327868852459,2.67213114754098
"Eltingville",141.666666666667,193,5.33333333333333
"Fresh Meadows",99.5,137.96875,1.5625
"Mount Hope",77.5,155.65,15.95
"Lighthouse Hill",157.5,215.5,2
"Springfield Gardens",94.2352941176471,204.011764705882,2.02352941176471
"Howard Beach",115.4,208.5,3.05
"Belle Harbor",171.5,186.625,1.75
"Jamaica Estates",182.947368421053,171.315789473684,1.94736842105263
"Van Nest",113.818181818182,156.363636363636,7.09090909090909
"Morris Park",69.3333333333333,126,2.93333333333333
"West Brighton",80.5555555555556,274.722222222222,5.16666666666667
"Far Rockaway",165.862068965517,165.862068965517,5.41379310344828
"South Ozone Park",82.4,226.1,3.1
"Tremont",51.5454545454545,119,2.36363636363636
"Corona",59.171875,244.171875,2.265625
"Great Kills",100.6,148.6,10.7
"Manhattan Beach",103.5,205.625,6
"Marble Hill",89.1666666666667,114.666666666667,2.58333333333333
"Dongan Hills",79.4285714285714,157.285714285714,2.14285714285714
"Castleton Corners",139.75,188.75,9
"East Morrisania",85,193.5,1.4
"Hunts Point",50.5,239.166666666667,13.7777777777778
"Neponsit",274.666666666667,231,2
"Pelham Bay",105,201.647058823529,2.76470588235294
"Randall Manor",336,275.210526315789,2.57894736842105
"Throgs Neck",91.0416666666667,175.791666666667,1.91666666666667
"Todt Hill",169,89,5.25
"West Farms",122,244.5,1.5
"Silver Lake",70,162,2.5
"Morrisania",83.4444444444444,135.5,2.22222222222222
"Laurelton",95.3333333333333,184.611111111111,2.33333333333333
"Grymes Hill",159.142857142857,141.571428571429,1.85714285714286
"Holliswood",135.75,169.5,2.5
"Pelham Gardens",93.6071428571429,146.357142857143,2.67857142857143
"Belmont",77.125,187.666666666667,3.375
"Rosedale",76.6949152542373,177.949152542373,3.54237288135593
"Edgemere",94.7272727272727,275.272727272727,10.0909090909091
"New Brighton",101.8,142.6,7.8
"Midland Beach",91.8333333333333,236,3
"Baychester",75.4285714285714,157.857142857143,2.42857142857143
"Melrose",83.3,93.6,3.1
"Bergen Beach",106.7,138.2,6.1
"Richmondtown",78,300,3
"Howland Hook",100,225.5,3.5
"Schuylerville",69.2307692307692,143.230769230769,2.15384615384615
"Coney Island",123.705882352941,163.235294117647,4.47058823529412
"New Dorp Beach",57.4,174.4,2
"Prince's Bay",409.5,110.5,4.75
"South Beach",89.25,182.875,2.375
"Bath Beach",81.7647058823529,196.117647058824,2.47058823529412
"Jamaica Hills",132.125,140.125,1.625
"Oakwood",81.2,188.4,1.2
